,sentence,table,location,month
0,there are 293 new cases in egypt in march.,new confirmed,egypt,march
1,there are 293 new confirmed cases in egypt .,new confirmed,egypt,march
2,there are 293 new cases in egypt .,new confirmed,egypt,march
3,there are 0 new confirmed cases in equatorial guinea in january.,new confirmed,equatorial guinea,january
4,there are 0 new cases in equatorial guinea in january.,new confirmed,equatorial guinea,january
5,there are 0 new confirmed cases in equatorial guinea in february.,new confirmed,equatorial guinea,february
6,there are 0 new cases in equatorial guinea in february.,new confirmed,equatorial guinea,february
7,there are 6 new confirmed cases in equatorial guinea in march.,new confirmed,equatorial guinea,march
8,there are 6 new cases in equatorial guinea in march.,new confirmed,equatorial guinea,march
9,there are 6 new confirmed cases in equatorial guinea .,new confirmed,equatorial guinea,march
10,there are 6 new cases in equatorial guinea .,new confirmed,equatorial guinea,march
11,there are 0 new confirmed cases in estonia in january.,new confirmed,estonia,january
12,there are 0 new cases in estonia in january.,new confirmed,estonia,january
13,there are 1 new confirmed cases in estonia in february.,new confirmed,estonia,february
14,there are 1 new cases in estonia in february.,new confirmed,estonia,february
15,there are 305 new confirmed cases in estonia in march.,new confirmed,estonia,march
16,there are 305 new cases in estonia in march.,new confirmed,estonia,march
17,there are 305 new confirmed cases in estonia .,new confirmed,estonia,march
18,there are 305 new cases in estonia .,new confirmed,estonia,march
19,there are 0 new confirmed cases in eswatini in january.,new confirmed,eswatini,january
20,there are 0 new cases in eswatini in january.,new confirmed,eswatini,january
21,there are 0 new confirmed cases in eswatini in february.,new confirmed,eswatini,february
22,there are 0 new cases in eswatini in february.,new confirmed,eswatini,february
23,there are 1 new confirmed cases in eswatini in march.,new confirmed,eswatini,march
24,there are 1 new cases in eswatini in march.,new confirmed,eswatini,march
25,there are 1 new confirmed cases in eswatini .,new confirmed,eswatini,march
26,there are 1 new cases in eswatini .,new confirmed,eswatini,march
27,there are 0 new confirmed cases in ethiopia in january.,new confirmed,ethiopia,january
28,there are 0 new cases in ethiopia in january.,new confirmed,ethiopia,january
29,there are 0 new confirmed cases in ethiopia in february.,new confirmed,ethiopia,february
30,there are 0 new cases in ethiopia in february.,new confirmed,ethiopia,february
31,there are 9 new confirmed cases in ethiopia in march.,new confirmed,ethiopia,march
32,there are 9 new cases in ethiopia in march.,new confirmed,ethiopia,march
33,there are 9 new confirmed cases in ethiopia .,new confirmed,ethiopia,march
34,there are 9 new cases in ethiopia .,new confirmed,ethiopia,march
35,there are 1 new confirmed cases in finland in january.,new confirmed,finland,january
36,there are 1 new cases in finland in january.,new confirmed,finland,january
37,there are 2 new confirmed cases in finland in february.,new confirmed,finland,february
38,there are 2 new cases in finland in february.,new confirmed,finland,february
39,there are 520 new confirmed cases in finland in march.,new confirmed,finland,march
40,there are 520 new cases in finland in march.,new confirmed,finland,march
41,there are 520 new confirmed cases in finland .,new confirmed,finland,march
42,there are 520 new cases in finland .,new confirmed,finland,march
43,there are 5 new confirmed cases in france in january.,new confirmed,france,january
44,there are 5 new cases in france in january.,new confirmed,france,january
45,there are 95 new confirmed cases in france in february.,new confirmed,france,february
46,there are 95 new cases in france in february.,new confirmed,france,february
47,there are 14331 new confirmed cases in france in march.,new confirmed,france,march
48,there are 14331 new cases in france in march.,new confirmed,france,march
49,there are 14331 new confirmed cases in france .,new confirmed,france,march
50,there are 14331 new cases in france .,new confirmed,france,march
51,there are 0 new confirmed cases in gabon in january.,new confirmed,gabon,january
52,there are 0 new cases in gabon in january.,new confirmed,gabon,january
53,there are 0 new confirmed cases in gabon in february.,new confirmed,gabon,february
54,there are 0 new cases in gabon in february.,new confirmed,gabon,february
55,there are 4 new confirmed cases in gabon in march.,new confirmed,gabon,march
56,there are 4 new cases in gabon in march.,new confirmed,gabon,march
57,there are 4 new confirmed cases in gabon .,new confirmed,gabon,march
58,there are 4 new cases in gabon .,new confirmed,gabon,march
59,there are 0 new confirmed cases in georgia in january.,new confirmed,georgia,january
60,there are 0 new cases in georgia in january.,new confirmed,georgia,january
61,there are 1 new confirmed cases in georgia in february.,new confirmed,georgia,february
62,there are 1 new cases in georgia in february.,new confirmed,georgia,february
63,there are 48 new confirmed cases in georgia in march.,new confirmed,georgia,march
64,there are 48 new cases in georgia in march.,new confirmed,georgia,march
65,there are 48 new confirmed cases in georgia .,new confirmed,georgia,march
66,there are 48 new cases in georgia .,new confirmed,georgia,march
67,there are 5 new confirmed cases in germany in january.,new confirmed,germany,january
68,there are 5 new cases in germany in january.,new confirmed,germany,january
69,there are 74 new confirmed cases in germany in february.,new confirmed,germany,february
70,there are 74 new cases in germany in february.,new confirmed,germany,february
71,there are 22134 new confirmed cases in germany in march.,new confirmed,germany,march
72,there are 22134 new cases in germany in march.,new confirmed,germany,march
73,there are 22134 new confirmed cases in germany .,new confirmed,germany,march
74,there are 22134 new cases in germany .,new confirmed,germany,march
75,there are 0 new confirmed cases in ghana in january.,new confirmed,ghana,january
76,there are 0 new cases in ghana in january.,new confirmed,ghana,january
77,there are 0 new confirmed cases in ghana in february.,new confirmed,ghana,february
78,there are 0 new cases in ghana in february.,new confirmed,ghana,february
79,there are 19 new confirmed cases in ghana in march.,new confirmed,ghana,march
80,there are 19 new cases in ghana in march.,new confirmed,ghana,march
81,there are 19 new confirmed cases in ghana .,new confirmed,ghana,march
82,there are 19 new cases in ghana .,new confirmed,ghana,march
83,there are 0 new confirmed cases in greece in january.,new confirmed,greece,january
84,there are 0 new cases in greece in january.,new confirmed,greece,january
85,there are 4 new confirmed cases in greece in february.,new confirmed,greece,february
86,there are 4 new cases in greece in february.,new confirmed,greece,february
87,there are 526 new confirmed cases in greece in march.,new confirmed,greece,march
88,there are 526 new cases in greece in march.,new confirmed,greece,march
89,there are 526 new confirmed cases in greece .,new confirmed,greece,march
90,there are 526 new cases in greece .,new confirmed,greece,march
91,there are 0 new confirmed cases in guatemala in january.,new confirmed,guatemala,january
92,there are 0 new cases in guatemala in january.,new confirmed,guatemala,january
93,there are 0 new confirmed cases in guatemala in february.,new confirmed,guatemala,february
94,there are 0 new cases in guatemala in february.,new confirmed,guatemala,february
95,there are 17 new confirmed cases in guatemala in march.,new confirmed,guatemala,march
96,there are 17 new cases in guatemala in march.,new confirmed,guatemala,march
97,there are 17 new confirmed cases in guatemala .,new confirmed,guatemala,march
98,there are 17 new cases in guatemala .,new confirmed,guatemala,march
99,there are 0 new confirmed cases in guinea in january.,new confirmed,guinea,january
100,there are 0 new cases in guinea in january.,new confirmed,guinea,january
101,there are 0 new confirmed cases in guinea in february.,new confirmed,guinea,february
102,there are 0 new cases in guinea in february.,new confirmed,guinea,february
